Source,Target,Source_Type,Target_Type,Hypothesis_Type,Common_Neighbor_Count,Weighted_Common_Neighbor_Score,Adamic_Adar_Score,Preferential_Attachment,Source_Degree,Target_Degree,Source_Weighted_Degree,Target_Weighted_Degree,Semantic_Bonus,Structural_Score,Bridge_Nodes,Bridge_Relation_Hints,Priority_Bonus,Priority_Score,Biological_Category,Has_STX_Gene_Signal,Has_Environment_Signal,Has_Evolution_Signal,Has_Regulation_Signal,Validated_in_Post2015,ML_Score,Priority_Score_Norm,ML_Score_Norm,Final_AI_Discovery_Score
sxtA1,saxitoxin production,GENE,PHRASE_TOXIN_PHENOTYPE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,11,14.0,2.796,2881,67,43,81.0,46.0,3.5,52.4969,STX-producing; genes involved; involved in stx; paralytic shellfish toxins; saxitoxin; stx-producing dinoflagellates; sxtA; sxtG; sxta and sxtg; toxic alexandrium; toxin production,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,19.0,71.4969,Gene-toxin biology,True,False,False,False,0,0.6889810963785007,0.38413034451141204,0.7460587816790791,0.5469981412368623
saxitoxin synthesis,sxtA4,PHRASE_TOXIN_PHENOTYPE,GENE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,19,27.0,4.8389,3190,58,55,77.0,66.0,2.0,79.1278,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Gymnodinium catenatum; STX-producing; Saxitoxin; biosynthesis; biosynthesis of saxitoxin; evolution; gene cluster; genes involved; involved in stx; neurotoxin saxitoxin; saxitoxin; saxitoxin biosynthesis; starting gene; stx production; sxtA; toxic species,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,20.5,99.6278,Gene-toxin biology,True,False,True,False,1,0.49738413916205915,0.55293505577038,0.5375869617952074,0.5460284134815524
nitrate,sxtA1,ENV_FACTOR,GENE,ENV_GENE_HYPOTHESIS,12,16.0,2.9916,4154,62,67,98.0,81.0,3.0,61.7531,Alexandrium minutum; cellular toxin; cellular toxin content; nitrogen; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; toxic alexandrium; toxic dinoflagellate; toxin content; toxin production; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,84.2531,Environmental driver,True,True,False,False,1,0.5909020118099103,0.4606763013688766,0.6393414018750767,0.5410755965966667
saxitoxin biosynthesis,sxtB,PHRASE_TOXIN_PHENOTYPE,GENE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,12,12.0,3.0159,2400,80,30,112.0,30.0,3.5,51.5319,Evolution; STX-producing; Saxitoxin; genes involved; homologs; involved in stx; saxitoxin; saxitoxin synthesis; stx-producing dinoflagellates; sxtA; sxtG; toxin synthesis,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,20.5,72.03190000000001,Gene-toxin biology,True,False,True,False,1,0.6663217565080555,0.38734071177742735,0.7214037251020454,0.5376690677735054
homologs,sxtA4,EVOLUTIONARY_PROCESS,GENE,GENE_EVOLUTION_HYPOTHESIS,16,20.0,4.0888,2585,47,55,54.0,66.0,2.0,65.1026,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; STX-producing; Saxitoxin; biosynthesis; evolution; genes involved; involved in stx; neurotoxin saxitoxin; saxitoxin; saxitoxin biosynthesis; starting gene; stx production; sxtA; toxic species,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,20.5,85.6026,Evolutionary mechanism,True,False,True,False,1,0.5693620501450528,0.468774227771657,0.6159043125092529,0.5349827659035753
saxitoxin analogues,sxtA4,PHRASE_TOXIN_PHENOTYPE,GENE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,13,15.0,2.9824,2640,48,55,83.0,66.0,2.0,54.6648,Alexandrium minutum; Gymnodinium catenatum; biosynthesis; gene cluster; gene expression; genes involved; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; sxtA; sxtA1; toxin content; toxin profile,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,16.0,70.6648,Gene-toxin biology,True,False,False,True,0,0.6695140693825139,0.37913717329262464,0.724877200277464,0.5347201854358024
Alexandrium fundyense,sxtA1,SPECIES,GENE,SPECIES_GENE_HYPOTHESIS,21,27.0,5.1148,3484,52,67,87.0,81.0,2.0,85.1497,STX biosynthesis; biosynthesis; clade; evolution; gene cluster; gene expression; genes involved; involved in stx biosynthesis; nitrogen; nitrogen limitation; saxitoxin; saxitoxin and its derivatives; saxitoxin biosynthesis; starting gene; stx biosynthesis; sxt gene; sxtA; sxtA4; sxtG; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,107.6497,Species-gene link,True,True,True,True,1,0.4027146136828059,0.601071962632525,0.43457943729727205,0.5261503262316612
sxtA,phosphate,GENE,ENV_FACTOR,ENV_GENE_HYPOTHESIS,13,18.0,3.0364,6254,118,53,191.0,78.0,2.0,74.3429,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; biosynthesis; cellular toxin; cellular toxin content; nitrogen; saxitoxin; saxitoxin biosynthesis; toxin content; toxin production; toxin profile; toxin synthesis,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,96.8429,Environmental driver,True,True,False,False,1,0.46586673795863925,0.5362237439963131,0.5032936719520676,0.5214052115764027
biosynthesis,psp toxin production,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,10,13.0,2.597,4000,125,32,193.0,40.0,1.5,53.194,Alexandrium minutum; Alexandrium tamarense; GTX; cellular toxin; environmental conditions; nitrogen; phosphate; saxitoxin; toxicity of alexandrium; toxin production,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,72.694,Mechanistic biology,False,True,False,False,0,0.6246960146907579,0.3913137662948641,0.6761118046209431,0.5194728835415997
STX biosynthesis,saxitoxin production,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,12,15.0,3.0296,2322,54,43,68.0,46.0,1.5,50.6693,Alexandrium tamarense; STX-producing; Saxitoxin; genes involved; involved in stx; paralytic shellfish toxins; saxitoxin; saxitoxin producing; stx-producing dinoflagellates; sxtA; sxtG; toxic species,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,19.0,69.66929999999999,Mechanistic biology,True,False,False,False,1,0.6439628838291249,0.3731634899032448,0.6970755993027259,0.5189239391330114
biosynthesis,stx production,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,11,14.0,2.6094,2125,125,17,193.0,20.0,1.5,46.3438,Evolution; Saxitoxin; genes involved; homologs; saxitoxin; saxitoxin synthesis; stx genes; sxtA; sxtA4; sxtG; sxta and sxtg,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,66.8438,Mechanistic biology,True,False,True,False,1,0.6575419072562763,0.3562085502581495,0.7118505924301274,0.5162474692355395
Alexandrium tamarense,sxtA1,SPECIES,GENE,SPECIES_GENE_HYPOTHESIS,19,24.0,4.5014,4623,69,67,161.0,81.0,2.0,84.1177,STX biosynthesis; biosynthesis; cellular toxin content; gene cluster; genes involved; involved in stx biosynthesis; nitrogen; phylogeny; saxitoxin; starting gene; stx biosynthesis; sxt gene; sxtA; sxtA4; sxtG; sxta and sxtg; toxin content; toxin production; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,106.6177,Species-gene link,True,True,True,False,1,0.3811303699680373,0.5948792541866789,0.41109416574908325,0.5121759643897609
toxin profile,Temperature,TOXIN,ENV_FACTOR,ENV_TOXIN_HYPOTHESIS,20,26.0,5.6258,3060,90,34,206.0,41.0,1.0,80.5515,Alexandrium ostenfeldii; GTX; c toxins; cellular toxin; cellular toxin content; dcSTX; effects of temperature; environmental conditions; gonyautoxin; growth and toxin; growth and toxin production; light; psp toxins; salinity; saxitoxin; temperature; toxic dinoflagellate; toxin composition; toxin content; toxin production,ASSOCIATED_WITH;DECREASES;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,15.0,95.5515,Environmental driver,False,True,False,False,1,0.45521907258080707,0.5284744574779354,0.49170821563230166,0.5119296486474002
Alexandrium minutum,phylogeny,SPECIES,EVOLUTIONARY_PROCESS,SPECIES_EVOLUTION_HYPOTHESIS,17,27.0,4.2156,3080,56,55,92.0,84.0,1.5,72.8311,biosynthesis; biosynthesis gene; biosynthesis of saxitoxin; evolution; gene transfer; horizontal gene; horizontal gene transfer; psp toxin profile; saxitoxin; saxitoxin biosynthesis; sxtA; sxtA1; sxtG; sxta gene; toxin content; toxin production; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,93.3311,Evolutionary mechanism,True,False,True,False,0,0.4685494977578064,0.5151505332210005,0.5062127152697121,0.5111285151429207
biosynthesis,paralytic shellfish toxin profiles,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,11,14.0,2.6297,3750,125,30,193.0,88.0,1.5,54.5094,Alexandrium catenella; Alexandrium tamarense; Gymnodinium catenatum; Toxin content; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin derivatives; temperature; toxin composition; toxin content,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,74.0094,Mechanistic biology,False,True,False,False,1,0.597034507454464,0.39920706928872657,0.6460140158143773,0.5102701952252695
homologs,biosynthesis gene,EVOLUTIONARY_PROCESS,PHRASE_GENE_MECHANISM,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,12,13.0,2.873,1927,47,41,54.0,43.0,1.5,47.381,Alexandrium minutum; biosynthesis; biosynthetic pathway; gene transfer; genes involved; horizontal gene; horizontal gene transfer; saxitoxin; saxitoxin biosynthesis; sxtA; sxtG; sxta and sxtg,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,67.881,Evolutionary mechanism,True,False,True,False,1,0.6228129557121791,0.3624324622736841,0.6740628956094629,0.5026661572747846
Alexandrium catenella,sxtG,SPECIES,GENE,SPECIES_GENE_HYPOTHESIS,13,17.0,3.0853,2960,37,80,68.0,101.0,2.0,57.4705,STX biosynthesis; Saxitoxin; biosynthesis; clade; evolution; gene expression; genes involved; saxitoxin; saxitoxin and its analogues; saxitoxin biosynthesis; stx biosynthesis; sxtA; toxin content,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,77.9705,Species-gene link,True,False,True,True,1,0.5547271540674518,0.4229763884988442,0.599980450964509,0.5026282166083934
temperature,neosaxitoxin,ENV_FACTOR,TOXIN,ENV_TOXIN_HYPOTHESIS,14,24.0,4.0976,3040,95,32,178.0,65.0,1.0,64.3952,Alexandrium tamarense; Gymnodinium catenatum; decarbamoyl toxins; paralytic shellfish toxin; paralytic shellfish toxins; paralytic toxin; psp toxins; saxitoxin analogues; sulfocarbamoyl toxins; toxicity of alexandrium; toxin composition; toxin production; toxin profile; toxin profiles,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,19.5,83.8952,Environmental driver,False,True,False,False,0,0.5069813249305242,0.45852865567820955,0.5480294177296998,0.4988039986013802
evolution,sxtB,EVOLUTIONARY_PROCESS,GENE,GENE_EVOLUTION_HYPOTHESIS,10,10.0,2.5777,2130,71,30,101.0,30.0,3.5,44.3054,Evolution; STX-producing; homologs; involved in stx; saxitoxin; saxitoxin synthesis; secondary metabolites; stx-producing dinoflagellates; sxtA; sxtG,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,18.0,62.3054,Evolutionary mechanism,True,False,True,False,0,0.6459863643783199,0.32897503474397466,0.6992772974858226,0.4956110529778063
evolution,sxt gene,EVOLUTIONARY_PROCESS,PHRASE_GENE_MECHANISM,EVOLUTION_GENE_MECHANISM_HYPOTHESIS,13,14.0,3.1566,2840,71,40,101.0,41.0,3.5,57.0132,Alexandrium fundyense; Alexandrium minutum; STX biosynthesis; STX-producing; biosynthesis; gene cluster; involved in stx; involved in stx biosynthesis; saxitoxin; stx biosynthesis; sxtA; sxtA1; sxtA4,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,20.5,77.5132,Evolutionary mechanism,True,False,True,False,1,0.5395919432188168,0.420232274572211,0.583512209527999,0.4937082453023156
nitrogen,toxin contents,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,15,22.0,3.8488,3280,80,41,121.0,73.0,1.0,66.0976,Alexandrium tamarense; Nitrogen; cellular toxin; nitrate; nitrate and phosphate; nutrient limitation; paralytic shellfish toxin; paralytic shellfish toxins; phosphate; phosphorus; saxitoxin; toxin composition; toxin content; toxin production; toxin profiles,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;REGULATES,17.5,83.5976,Environmental driver,False,True,False,False,0,0.49856036462431824,0.45674285138219806,0.538866783073548,0.4936986206433055
biosynthesis,toxin profiles and toxin,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,10,12.0,2.3727,3500,125,28,193.0,56.0,1.5,49.7455,Alexandrium catenella; Alexandrium tamarense; Toxin content; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin derivatives; temperature; toxin composition; toxin content,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,69.24549999999999,Mechanistic biology,False,True,False,False,0,0.5923060713832257,0.3706203989736425,0.6408691237070251,0.49223232510366466
sxtG,Phylogenetic analysis,GENE,EVOLUTIONARY_PROCESS,GENE_EVOLUTION_HYPOTHESIS,10,12.0,2.3853,2080,80,26,101.0,40.0,3.5,44.6705,biosynthesis; biosynthesis gene; biosynthesis of saxitoxin; gene transfer; horizontal gene; horizontal gene transfer; phylogeny; saxitoxin; saxitoxin biosynthesis; toxin content,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,65.1705,Evolutionary mechanism,True,False,True,False,1,0.6123287185770783,0.34616760157362003,0.662655261441351,0.488587048514099
toxin profiles,Temperature,TOXIN,ENV_FACTOR,ENV_TOXIN_HYPOTHESIS,14,18.0,3.9318,2890,85,34,276.0,41.0,1.0,60.3135,Alexandrium ostenfeldii; GTX; Toxin composition; Toxin content; dcSTX; effects of temperature; gonyautoxin; psp toxins; salinity; saxitoxin; temperature; toxic dinoflagellate; toxin composition; toxin content,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;PRESENT_IN,17.5,77.8135,Environmental driver,False,True,False,False,1,0.5204412623325396,0.42203428072171456,0.5626748363547528,0.48532253075658177
STX biosynthesis,saxitoxin-producing dinoflagellate,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,13,16.0,3.1177,1296,54,24,68.0,30.0,1.5,48.2154,Alexandrium fundyense; Alexandrium tamarense; Gymnodinium catenatum; Saxitoxin; amidinotransferase; biosynthesis; biosynthesis of saxitoxin; genes involved; neurotoxin saxitoxin; saxitoxin; saxitoxin biosynthesis; sxtA; sxtG,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,20.5,68.7154,Mechanistic biology,True,False,False,False,0,0.5781129823979196,0.36743943507137217,0.6254259813235167,0.4835333808848372
sxtA1,homologs,GENE,EVOLUTIONARY_PROCESS,GENE_EVOLUTION_HYPOTHESIS,13,16.0,3.2058,3149,67,47,81.0,54.0,2.0,58.1565,Alexandrium minutum; STX-producing; biosynthesis; evolution; genes involved; involved in stx; saxitoxin; saxitoxin biosynthesis; starting gene; stx-producing dinoflagellates; sxtA; sxtG; sxta and sxtg,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,78.6565,Evolutionary mechanism,True,False,True,False,0,0.5052564828791802,0.4270928594231179,0.5461526605688348,0.48066976993869054
toxin profiles,phosphate,TOXIN,ENV_FACTOR,ENV_TOXIN_HYPOTHESIS,21,30.0,5.7846,4505,85,53,276.0,78.0,0.0,91.0943,Alexandrium fundyense; Alexandrium tamarense; GTX; Toxin content; differences in toxin; gonyautoxin; nitrate; nitrogen; psp toxin; psp toxins; salinity; saxitoxin; saxitoxin derivatives; temperature; toxic dinoflagellate; toxic dinoflagellate alexandrium; toxin accumulation; toxin composition; toxin content; toxin contents; toxin profile,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;PRESENT_IN;REGULATES,19.5,110.5943,Environmental driver,False,True,False,False,0,0.2874398684025661,0.6187415840372138,0.3091518924951194,0.47942622284327135
sxtG,sxta4 gene,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,15,15.0,3.607,2080,80,26,101.0,26.0,2.0,57.1139,Alexandrium fundyense; Alexandrium tamarense; STX biosynthesis; Saxitoxin; biosynthesis; biosynthesis of saxitoxin; gene cluster; genes involved; involved in stx; involved in stx biosynthesis; paralytic shellfish toxins; saxitoxin; stx biosynthesis; sxtA; toxic species,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,19.0,76.1139,Mechanistic biology,True,False,False,False,0,0.5197948530813166,0.4118355139827996,0.5619714947414515,0.479396705324193
nitrogen,saxitoxin and its derivatives,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,15,18.0,3.663,2800,80,35,121.0,39.0,1.0,61.3261,Alexandrium fundyense; Alexandrium minutum; Saxitoxin; biosynthesis; gene transfer; genes involved; horizontal gene; horizontal gene transfer; paralytic shellfish toxins; saxitoxin; saxitoxin synthesis; sxtA; sxtA1; sxtG; toxic alexandrium,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,83.8261,Environmental driver,True,True,True,False,0,0.4612267979417375,0.4581140082425429,0.4982450701708672,0.4761729861102888
Alexandrium catenella,sxtA1,SPECIES,GENE,SPECIES_GENE_HYPOTHESIS,13,17.0,3.1109,2479,37,67,68.0,81.0,2.0,55.1168,STX biosynthesis; biosynthesis; clade; evolution; gene expression; genes involved; saxitoxin; saxitoxin and its analogues; saxitoxin biosynthesis; stx biosynthesis; sxtA; sxtA4; toxin content,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,75.6168,Species-gene link,True,False,True,True,1,0.5136418717380855,0.40885257273432074,0.5552765908297685,0.4747433808772723
biosynthesis,shellfish toxin profiles,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,11,14.0,2.6297,3750,125,30,193.0,88.0,1.5,54.5094,Alexandrium catenella; Alexandrium tamarense; Gymnodinium catenatum; Toxin content; paralytic shellfish toxin; paralytic shellfish toxins; saxitoxin; saxitoxin derivatives; temperature; toxin composition; toxin content,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,74.0094,Mechanistic biology,False,True,False,False,1,0.5203010839913242,0.39920706928872657,0.5625223118349167,0.47269892843451217
nitrogen,Toxin content,ENV_FACTOR,TOXIN,ENV_TOXIN_HYPOTHESIS,12,20.0,2.9771,4160,80,52,121.0,85.0,1.0,61.7543,Alexandrium fundyense; Alexandrium tamarense; biosynthesis; cellular toxin; cellular toxin content; differences in toxin; paralytic shellfish toxin; phosphate; toxin composition; toxin content; toxin production; toxin profiles,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;REGULATES,17.5,79.2543,Environmental driver,False,True,False,False,1,0.47857401020685036,0.4306800697999851,0.5171201345944351,0.4695780989574876
STX biosynthesis,saxitoxin and its derivatives,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,15,17.0,3.6065,1890,54,35,68.0,39.0,1.5,56.663,Alexandrium fundyense; Gymnodinium catenatum; STX-producing; Saxitoxin; amidinotransferase; biosynthesis; biosynthesis of saxitoxin; genes involved; paralytic shellfish toxins; saxitoxin; saxitoxin biosynthesis; sxt gene; sxtA; sxtA1; sxtG,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN,19.0,75.663,Mechanistic biology,True,False,False,False,0,0.49783191101572366,0.409129804449629,0.5380741710629452,0.4671547694256213
nitrogen,saxitoxin derivatives,ENV_FACTOR,PHRASE_TOXIN_PHENOTYPE,ENV_TOXIN_PHENOTYPE_HYPOTHESIS,14,25.0,3.5787,4240,80,53,121.0,106.0,1.0,69.8575,Alexandrium fundyense; Alexandrium tamarense; GTX; biosynthesis; differences in toxin; dominant toxins; paralytic shellfish toxin; paralytic shellfish toxins; phosphate; saxitoxin; toxin composition; toxin content; toxin production; toxin profiles,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,19.5,89.3575,Environmental driver,False,True,False,False,0,0.40370930855809295,0.49130620542990117,0.4356617397194655,0.4662661958602051
sxtA,production of saxitoxin,GENE,PHRASE_TOXIN_PHENOTYPE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,13,13.0,3.4176,1534,118,13,191.0,13.0,2.0,49.0053,Evolution; biosynthesis; biosynthesis in dinoflagellates; biosynthetic pathway; evolution; gene transfer; homologs; horizontal gene; horizontal gene transfer; origin of saxitoxin; saxitoxin; saxitoxin biosynthesis; saxitoxin biosynthesis in dinoflagellates,ABSENT_IN;ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,69.5053,Gene-toxin biology,True,False,True,False,1,0.5367871145488685,0.3721793773207655,0.580460346148843,0.4659058132934004
sxtA1,gene loss,GENE,GENE_PRESENCE_ABSENCE,GENE_PRESENCE_ABSENCE_HYPOTHESIS,6,6.0,1.3918,1139,67,17,81.0,17.0,3.5,26.9785,biosynthesis; conservation; evolution; gene cluster; nitrogen; saxitoxin,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,21.0,47.9785,Gene presence/absence,True,True,True,False,0,0.6811965529619217,0.24300379963467816,0.7375886161994367,0.46556696708881956
sxtG,saxitoxin gene,GENE,PHRASE_GENE_MECHANISM,GENE_MECHANISM_PHRASE_HYPOTHESIS,15,15.0,3.607,2080,80,26,101.0,26.0,2.0,57.1139,Alexandrium fundyense; Alexandrium tamarense; STX biosynthesis; Saxitoxin; biosynthesis; biosynthesis of saxitoxin; gene cluster; genes involved; involved in stx; involved in stx biosynthesis; paralytic shellfish toxins; saxitoxin; stx biosynthesis; sxtA; toxic species,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INVOLVED_IN;PRESENT_IN;REGULATES,19.0,76.1139,Mechanistic biology,True,False,False,False,0,0.4878179946122316,0.4118355139827996,0.5271782810283105,0.4637397591532796
Gymnodinium catenatum,Evolution,SPECIES,EVOLUTIONARY_PROCESS,SPECIES_EVOLUTION_HYPOTHESIS,14,15.0,3.3919,2009,49,41,111.0,43.0,1.5,53.8289,Saxitoxin; biosynthesis; biosynthesis in dinoflagellates; evolution; gene transfer; genes involved; horizontal gene; horizontal gene transfer; saxitoxin; saxitoxin biosynthesis; saxitoxin biosynthesis in dinoflagellates; saxitoxin synthesis; sxtA; sxtG,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN,20.5,74.3289,Evolutionary mechanism,True,False,True,False,1,0.49898817224559133,0.401124288618618,0.5393322697632256,0.46331788013369146
sxtA,toxin analogues,GENE,PHRASE_TOXIN_PHENOTYPE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,15,21.0,3.6084,2950,118,25,191.0,42.0,2.0,64.4668,biosynthesis; biosynthesis gene; biosynthesis of saxitoxin; evolution; gene cluster; gene transfer; horizontal gene; horizontal gene transfer; nitrogen; phylogeny; saxitoxin; saxitoxin analogues; saxitoxin biosynthesis; saxitoxin synthesis; toxin profile,ABSENT_IN;ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,86.9668,Gene-toxin biology,True,True,True,False,0,0.4078665507218907,0.476960364265672,0.4401851301332591,0.4604115089060863
STX biosynthesis,cellular toxin content,BIOLOGICAL_MECHANISM,PHRASE_TOXIN_PHENOTYPE,MECHANISM_TOXIN_PHENOTYPE_HYPOTHESIS,11,12.0,2.5455,2916,54,54,68.0,63.0,1.5,49.1711,Alexandrium tamarense; Pyrodinium bahamense; biosynthesis; gene cluster; gene expression; genes involved; paralytic shellfish toxins; saxitoxin; sxtA; sxtA1; sxtG,ASSOCIATED_WITH;DECREASES;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,20.5,69.6711,Mechanistic biology,True,False,False,True,0,0.5167701276091399,0.3731742911389062,0.5586803671943608,0.45665202536386074
sxtG,saxitoxin-producing dinoflagellates,GENE,PHRASE_TOXIN_PHENOTYPE,GENE_TOXIN_PHENOTYPE_HYPOTHESIS,14,16.0,3.4778,2240,80,28,101.0,49.0,2.0,56.1556,Alexandrium fundyense; Alexandrium minutum; Alexandrium tamarense; Saxitoxin; homologs; nitrogen; nitrogen limitation; phosphorus; production of toxins; saxitoxin; saxitoxin synthesis; saxitoxin-producing dinoflagellate; sxtA; toxin content,ASSOCIATED_WITH;EVOLUTIONARY_LINK;INCREASES;INVOLVED_IN;PRESENT_IN;REGULATES,22.5,78.65559999999999,Gene-toxin biology,True,True,False,False,0,0.4524809176385408,0.42708745880528726,0.48872889825570354,0.4548261065579746
